,SPY,
6/4/2011,$7126.37,
7/4/2011,$7049.53,
8/4/2011,$6945.57,
9/4/2011,$6945.57,
10/4/2011,$6945.57,
11/4/2011,$6855.17,
12/4/2011,$6687.93,
13/4/2011,$6687.93,
14/4/2011,$6687.93,
15/4/2011,$6741.69,
16/4/2011,$6741.69,
17/4/2011,$6741.69,
18/4/2011,$6416.89,
19/4/2011,$6416.89,
20/4/2011,$6465.29,
21/4/2011,$6614.89,
22/4/2011,$6614.89,
23/4/2011,$6614.89,
24/4/2011,$6614.89,
25/4/2011,$6584.09,
26/4/2011,$6837.09,
27/4/2011,$7030.69,
28/4/2011,$7127.49,
29/4/2011,$7197.89,
30/4/2011,$7197.89,
1/5/2011,$7197.89,
2/5/2011,$7151.69,
3/5/2011,$7043.89,
4/5/2011,$6845.89,
5/5/2011,$6577.49,
6/5/2011,$6707.29,
7/5/2011,$6707.29,
8/5/2011,$6707.29,
9/5/2011,$6821.69,
10/5/2011,$7074.69,
11/5/2011,$6760.09,
12/5/2011,$6900.89,
13/5/2011,$6672.09,
14/5/2011,$6672.09,
15/5/2011,$6672.09,
16/5/2011,$6485.09,
17/5/2011,$6480.69,
18/5/2011,$6742.49,
19/5/2011,$6812.89,
20/5/2011,$6577.49,
21/5/2011,$6577.49,
22/5/2011,$6577.49,
23/5/2011,$6218.89,
24/5/2011,$6218.89,
25/5/2011,$6218.89,
26/5/2011,$6431.32,
27/5/2011,$6543.01,
28/5/2011,$6543.01,
29/5/2011,$6543.01,
30/5/2011,$6543.01,
31/5/2011,$6847.42,
1/6/2011,$6762.01,
2/6/2011,$6762.01,
3/6/2011,$6762.01,
4/6/2011,$6762.01,
5/6/2011,$6762.01,
6/6/2011,$6762.01,
7/6/2011,$6762.01,
8/6/2011,$6762.01,
9/6/2011,$6762.01,
10/6/2011,$6762.01,
11/6/2011,$6762.01,
12/6/2011,$6762.01,
13/6/2011,$6762.01,
14/6/2011,$6762.01,
15/6/2011,$6762.01,
16/6/2011,$6762.01,
17/6/2011,$6762.01,
18/6/2011,$6762.01,
19/6/2011,$6762.01,
20/6/2011,$6762.01,
21/6/2011,$6762.01,
22/6/2011,$6762.01,
23/6/2011,$6762.01,
24/6/2011,$6762.01,
25/6/2011,$6762.01,
26/6/2011,$6762.01,
27/6/2011,$6762.01,
28/6/2011,$6762.01,
29/6/2011,$6762.01,
30/6/2011,$6942.95,
1/7/2011,$7368.05,
2/7/2011,$7368.05,
3/7/2011,$7368.05,
4/7/2011,$7368.05,
5/7/2011,$7344.07,
6/7/2011,$7378.95,
